Title,Description,Category,Who made it?,What is it?,When was it made?,Renewal options,Product type,Tags,Materials,Production partners,Section,Price,Quantity,SKU,Variation 1,V1 Option,Variation 2,V2 Option,Var Price,Var Quantity,Var SKU,Var Visibility,Var Photo,Shipping profile,Weight,Length,Width,Height,Return policy,Photo 1,Photo 2,Photo 3,Photo 4,Photo 5,Photo 6,Photo 7,Photo 8,Photo 9,Photo 10,Video 1,Digital file 1,Digital file 2,Digital file 3,Digital file 4,Digital file 5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/19-43-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/19-43-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/20-44-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/20-44-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/21-45-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/21-45-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/22-46-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/22-46-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/23-47-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/23-47-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/24-48-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/24-48-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/25-49-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/25-49-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/26-50-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/26-50-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/27-51-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/27-51-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/28-52-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/28-52-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/29-53-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/29-53-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/30-54-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/30-54-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/31-55-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/31-55-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/32-56-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/32-56-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/33-57-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/33-57-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/34-58-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/34-58-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/35-59-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/35-59-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/36-60-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/36-60-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/37-61-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/37-61-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/38-62-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/38-62-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/39-63-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/39-63-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/40-64-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/40-64-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/41-65-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/41-65-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/42-66-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/42-66-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/43-67-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/43-67-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/44-68-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/44-68-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/45-69-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/45-69-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/46-70-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/46-70-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/47-71-mockuphaus0454-xmsku4ut6y02dpe.jpg,https://raw.githubusercontent.com/jjldcompany-eng/Vela/main/47-71-2-xms3ogmzuzd7cm4.jpg,,,,,,,,,,,,,,
